condition	stimulus	ITI	trial	targetResponse	block	subject	task
distractor	5	0.98	1	left	1	6	P300
target	4	1.12	2	left	1	6	P300
distractor	5	2.26	3	left	1	6	P300
distractor	2	0.89	4	left	1	6	P300
distractor	2	0.81	5	left	1	6	P300
distractor	5	2.37	6	left	1	6	P300
distractor	2	1.08	7	left	1	6	P300
distractor	1	2.43	8	left	1	6	P300
distractor	3	2.2	9	left	1	6	P300
distractor	3	1.23	10	left	1	6	P300
target	4	0.7	11	left	1	6	P300
distractor	3	0.82	12	left	1	6	P300
target	4	1.11	13	left	1	6	P300
distractor	2	0.76	14	left	1	6	P300
distractor	1	0.89	15	left	1	6	P300
target	4	0.79	16	left	1	6	P300
distractor	2	1.33	17	left	1	6	P300
distractor	3	1.88	18	left	1	6	P300
distractor	1	0.71	19	left	1	6	P300
distractor	2	0.82	20	left	1	6	P300
target	4	0.83	21	left	1	6	P300
distractor	2	0.76	22	left	1	6	P300
distractor	3	2.01	23	left	1	6	P300
target	4	0.82	24	left	1	6	P300
distractor	2	0.89	25	left	1	6	P300
distractor	3	0.72	26	left	1	6	P300
target	4	0.81	27	left	1	6	P300
distractor	3	1.63	28	left	1	6	P300
distractor	5	2.14	29	left	1	6	P300
distractor	2	1.16	30	left	1	6	P300
distractor	1	0.85	31	left	1	6	P300
target	4	0.72	32	left	1	6	P300
distractor	3	0.77	33	left	1	6	P300
target	4	1.56	34	left	1	6	P300
distractor	5	0.83	35	left	1	6	P300
distractor	2	1.04	36	left	1	6	P300
distractor	1	0.82	37	left	1	6	P300
distractor	2	1.5	38	left	1	6	P300
distractor	1	1	39	left	1	6	P300
distractor	2	0.98	40	left	1	6	P300
distractor	1	1.72	41	left	1	6	P300
distractor	3	1.77	42	left	1	6	P300
distractor	5	0.82	43	left	1	6	P300
distractor	1	0.7	44	left	1	6	P300
distractor	3	1.18	45	left	1	6	P300
distractor	5	0.83	46	left	1	6	P300
distractor	1	0.7	47	left	1	6	P300
target	4	0.74	48	left	1	6	P300
distractor	1	0.93	49	left	1	6	P300
distractor	5	0.75	50	left	1	6	P300
target	4	0.8	51	left	1	6	P300
distractor	2	1.29	52	left	1	6	P300
distractor	1	0.96	53	left	1	6	P300
distractor	3	0.75	54	left	1	6	P300
distractor	5	0.8	55	left	1	6	P300
target	4	1.85	56	left	1	6	P300
distractor	1	0.7	57	left	1	6	P300
distractor	5	1.14	58	left	1	6	P300
target	4	1.14	59	left	1	6	P300
distractor	1	1.19	60	left	1	6	P300
distractor	5	1.07	61	left	1	6	P300
distractor	3	1.36	62	left	1	6	P300
distractor	1	1.44	63	left	1	6	P300
target	4	1.15	64	left	1	6	P300
distractor	5	0.78	65	left	1	6	P300
distractor	3	1.26	66	left	1	6	P300
distractor	1	0.84	67	left	1	6	P300
target	4	1.49	68	left	1	6	P300
distractor	1	1.06	69	left	1	6	P300
target	4	0.73	70	left	1	6	P300
distractor	5	1.75	71	left	1	6	P300
distractor	5	0.96	72	left	1	6	P300
target	4	1.94	73	left	1	6	P300
distractor	5	0.74	74	left	1	6	P300
target	4	0.71	75	left	1	6	P300
distractor	5	1.31	76	left	1	6	P300
distractor	3	0.71	77	left	1	6	P300
distractor	5	0.96	78	left	1	6	P300
distractor	2	1.43	79	left	1	6	P300
distractor	2	0.93	80	left	1	6	P300
target	4	0.79	81	left	1	6	P300
distractor	3	1.5	82	left	1	6	P300
distractor	5	0.74	83	left	1	6	P300
distractor	2	0.84	84	left	1	6	P300
distractor	5	0.8	85	left	1	6	P300
distractor	2	0.97	86	left	1	6	P300
distractor	2	0.86	87	left	1	6	P300
distractor	1	1.74	88	left	1	6	P300
distractor	1	1.36	89	left	1	6	P300
distractor	2	1.23	90	left	1	6	P300
distractor	2	0.76	91	left	1	6	P300
distractor	1	1.11	92	left	1	6	P300
target	4	1.52	93	left	1	6	P300
distractor	3	1.81	94	left	1	6	P300
distractor	1	1.17	95	left	1	6	P300
distractor	5	0.83	96	left	1	6	P300
distractor	1	0.84	97	left	1	6	P300
distractor	5	1.13	98	left	1	6	P300
distractor	1	1.25	99	left	1	6	P300
distractor	5	0.85	100	left	1	6	P300
distractor	3	1.19	101	left	1	6	P300
target	4	1	102	left	1	6	P300
distractor	3	1.46	103	left	1	6	P300
distractor	3	1.19	104	left	1	6	P300
target	4	1.74	105	left	1	6	P300
distractor	1	0.75	106	left	1	6	P300
distractor	3	1.49	107	left	1	6	P300
target	4	1.98	108	left	1	6	P300
distractor	3	1.07	109	left	1	6	P300
distractor	5	0.7	110	left	1	6	P300
distractor	2	0.71	111	left	1	6	P300
distractor	1	0.93	112	left	1	6	P300
distractor	5	0.96	113	left	1	6	P300
distractor	2	0.98	114	left	1	6	P300
distractor	3	1.19	115	left	1	6	P300
distractor	3	1.31	116	left	1	6	P300
distractor	3	1.44	117	left	1	6	P300
distractor	2	0.88	118	left	1	6	P300
target	4	1.11	119	left	1	6	P300
distractor	2	0.91	120	left	1	6	P300
distractor	3	0.87	1	right	2	6	P300
distractor	2	0.81	2	right	2	6	P300
distractor	1	0.78	3	right	2	6	P300
distractor	2	0.72	4	right	2	6	P300
distractor	2	2.05	5	right	2	6	P300
distractor	2	0.76	6	right	2	6	P300
distractor	3	2.07	7	right	2	6	P300
distractor	4	0.87	8	right	2	6	P300
distractor	3	0.72	9	right	2	6	P300
distractor	4	1.44	10	right	2	6	P300
distractor	4	1.4	11	right	2	6	P300
distractor	3	0.97	12	right	2	6	P300
distractor	2	1.34	13	right	2	6	P300
distractor	3	1.3	14	right	2	6	P300
distractor	2	0.96	15	right	2	6	P300
distractor	4	0.84	16	right	2	6	P300
distractor	4	0.76	17	right	2	6	P300
distractor	4	1.74	18	right	2	6	P300
distractor	3	0.73	19	right	2	6	P300
distractor	4	1.26	20	right	2	6	P300
distractor	1	0.73	21	right	2	6	P300
distractor	3	1.18	22	right	2	6	P300
distractor	1	0.72	23	right	2	6	P300
distractor	4	0.75	24	right	2	6	P300
distractor	3	0.98	25	right	2	6	P300
distractor	3	0.73	26	right	2	6	P300
target	5	0.71	27	right	2	6	P300
distractor	1	1.14	28	right	2	6	P300
distractor	1	1.67	29	right	2	6	P300
distractor	4	0.98	30	right	2	6	P300
target	5	1.48	31	right	2	6	P300
distractor	2	1.23	32	right	2	6	P300
target	5	1.87	33	right	2	6	P300
distractor	3	2.29	34	right	2	6	P300
distractor	3	1.08	35	right	2	6	P300
distractor	1	1.96	36	right	2	6	P300
distractor	4	1.23	37	right	2	6	P300
distractor	1	0.97	38	right	2	6	P300
distractor	1	1.77	39	right	2	6	P300
distractor	1	1.07	40	right	2	6	P300
distractor	4	0.81	41	right	2	6	P300
target	5	0.91	42	right	2	6	P300
distractor	1	0.93	43	right	2	6	P300
distractor	1	0.77	44	right	2	6	P300
target	5	0.71	45	right	2	6	P300
distractor	1	0.72	46	right	2	6	P300
target	5	1.19	47	right	2	6	P300
distractor	1	0.82	48	right	2	6	P300
distractor	4	0.77	49	right	2	6	P300
distractor	2	0.79	50	right	2	6	P300
distractor	1	1.44	51	right	2	6	P300
target	5	1.66	52	right	2	6	P300
distractor	4	0.96	53	right	2	6	P300
distractor	1	1.28	54	right	2	6	P300
distractor	2	1.07	55	right	2	6	P300
target	5	0.99	56	right	2	6	P300
distractor	3	1.14	57	right	2	6	P300
target	5	1.98	58	right	2	6	P300
distractor	1	1.4	59	right	2	6	P300
target	5	0.92	60	right	2	6	P300
distractor	3	0.7	61	right	2	6	P300
target	5	0.82	62	right	2	6	P300
distractor	3	0.84	63	right	2	6	P300
distractor	2	2.38	64	right	2	6	P300
distractor	4	0.93	65	right	2	6	P300
distractor	3	1.03	66	right	2	6	P300
distractor	3	0.72	67	right	2	6	P300
target	5	0.76	68	right	2	6	P300
distractor	2	2.54	69	right	2	6	P300
distractor	4	1.03	70	right	2	6	P300
distractor	2	0.8	71	right	2	6	P300
target	5	1.14	72	right	2	6	P300
distractor	2	1.26	73	right	2	6	P300
distractor	1	1	74	right	2	6	P300
target	5	0.87	75	right	2	6	P300
distractor	2	1.25	76	right	2	6	P300
distractor	4	0.76	77	right	2	6	P300
distractor	4	1.25	78	right	2	6	P300
distractor	1	0.95	79	right	2	6	P300
distractor	2	1.01	80	right	2	6	P300
target	5	1.12	81	right	2	6	P300
distractor	3	1.55	82	right	2	6	P300
distractor	2	0.86	83	right	2	6	P300
distractor	3	1.21	84	right	2	6	P300
distractor	3	0.75	85	right	2	6	P300
distractor	1	0.95	86	right	2	6	P300
target	5	1.24	87	right	2	6	P300
distractor	3	1.05	88	right	2	6	P300
target	5	1.65	89	right	2	6	P300
distractor	4	1.02	90	right	2	6	P300
target	5	1.13	91	right	2	6	P300
distractor	1	0.88	92	right	2	6	P300
distractor	4	1.51	93	right	2	6	P300
distractor	2	1.07	94	right	2	6	P300
distractor	4	0.83	95	right	2	6	P300
distractor	1	1.39	96	right	2	6	P300
distractor	1	1.48	97	right	2	6	P300
distractor	2	0.96	98	right	2	6	P300
distractor	2	1.19	99	right	2	6	P300
distractor	2	0.74	100	right	2	6	P300
distractor	3	1.25	101	right	2	6	P300
distractor	4	0.87	102	right	2	6	P300
target	5	0.7	103	right	2	6	P300
distractor	2	1.23	104	right	2	6	P300
distractor	3	1.04	105	right	2	6	P300
distractor	2	1.46	106	right	2	6	P300
target	5	0.75	107	right	2	6	P300
distractor	2	2.86	108	right	2	6	P300
distractor	4	0.87	109	right	2	6	P300
target	5	0.76	110	right	2	6	P300
distractor	4	0.71	111	right	2	6	P300
distractor	3	0.86	112	right	2	6	P300
distractor	1	0.8	113	right	2	6	P300
target	5	1.07	114	right	2	6	P300
distractor	3	2.08	115	right	2	6	P300
distractor	4	0.8	116	right	2	6	P300
target	5	0.87	117	right	2	6	P300
distractor	1	0.83	118	right	2	6	P300
target	5	0.83	119	right	2	6	P300
distractor	2	1.2	120	right	2	6	P300
distractor	3	0.76	1	right	3	6	P300
distractor	3	0.98	2	right	3	6	P300
target	2	0.92	3	right	3	6	P300
distractor	4	0.92	4	right	3	6	P300
target	2	1.47	5	right	3	6	P300
distractor	3	0.79	6	right	3	6	P300
distractor	4	1.32	7	right	3	6	P300
distractor	1	1.27	8	right	3	6	P300
distractor	4	0.93	9	right	3	6	P300
target	2	0.76	10	right	3	6	P300
distractor	1	1.22	11	right	3	6	P300
distractor	5	1.6	12	right	3	6	P300
target	2	0.78	13	right	3	6	P300
distractor	5	0.75	14	right	3	6	P300
distractor	3	0.8	15	right	3	6	P300
target	2	0.95	16	right	3	6	P300
distractor	1	0.96	17	right	3	6	P300
target	2	1.31	18	right	3	6	P300
distractor	4	0.77	19	right	3	6	P300
target	2	1.69	20	right	3	6	P300
distractor	5	1.02	21	right	3	6	P300
distractor	3	0.84	22	right	3	6	P300
distractor	3	0.7	23	right	3	6	P300
distractor	4	1.08	24	right	3	6	P300
target	2	0.79	25	right	3	6	P300
distractor	5	2.1	26	right	3	6	P300
target	2	0.95	27	right	3	6	P300
distractor	1	0.79	28	right	3	6	P300
distractor	3	0.93	29	right	3	6	P300
distractor	3	1.5	30	right	3	6	P300
target	2	0.71	31	right	3	6	P300
distractor	4	1.18	32	right	3	6	P300
target	2	0.97	33	right	3	6	P300
distractor	3	0.88	34	right	3	6	P300
distractor	4	1	35	right	3	6	P300
target	2	0.94	36	right	3	6	P300
distractor	3	1.05	37	right	3	6	P300
distractor	5	0.74	38	right	3	6	P300
