stimulus	stimDur	ITI	flickerDot	trial	block	subject	task
44	0.49	NaN	0	1	1	17	stimDur
54	0.14	NaN	0	2	1	17	stimDur
19	0.57	NaN	0.2618	3	1	17	stimDur
456	0.13	NaN	0	4	1	17	stimDur
53	0.9	NaN	0	5	1	17	stimDur
115	0.35	NaN	0	6	1	17	stimDur
402	0.12	NaN	0	7	1	17	stimDur
349	0.32	NaN	0	8	1	17	stimDur
451	0.37	NaN	0	9	1	17	stimDur
26	0.31	NaN	0	10	1	17	stimDur
310	0.13	NaN	0	11	1	17	stimDur
315	1.27	NaN	0	12	1	17	stimDur
247	0.33	NaN	0	13	1	17	stimDur
73	1.19	NaN	0.9991	14	1	17	stimDur
265	1.44	NaN	0	15	1	17	stimDur
388	0.3	NaN	0	16	1	17	stimDur
425	1.31	NaN	0	17	1	17	stimDur
174	0.28	NaN	0	18	1	17	stimDur
270	0.29	NaN	0	19	1	17	stimDur
114	0.12	NaN	0	20	1	17	stimDur
492	0.92	NaN	0	21	1	17	stimDur
79	0.22	NaN	0	22	1	17	stimDur
216	0.5	NaN	0	23	1	17	stimDur
386	0.49	NaN	0	24	1	17	stimDur
389	0.36	NaN	0	25	1	17	stimDur
86	0.1	NaN	0	26	1	17	stimDur
469	0.22	NaN	0	27	1	17	stimDur
448	1.17	NaN	0.4826	28	1	17	stimDur
167	0.42	NaN	0	29	1	17	stimDur
37	0.14	NaN	0	30	1	17	stimDur
54	0.14	NaN	0	31	1	17	stimDur
79	0.29	NaN	0	32	1	17	stimDur
282	0.14	NaN	0	33	1	17	stimDur
42	0.88	NaN	0	34	1	17	stimDur
447	0.32	NaN	0	35	1	17	stimDur
240	0.17	NaN	0	36	1	17	stimDur
478	0.17	NaN	0	37	1	17	stimDur
94	0.1	NaN	0	38	1	17	stimDur
30	0.66	NaN	0	39	1	17	stimDur
231	0.66	NaN	0.4681	40	1	17	stimDur
203	0.8	NaN	0	41	1	17	stimDur
219	1.3	NaN	0	42	1	17	stimDur
358	0.37	NaN	0	43	1	17	stimDur
366	1.32	NaN	0	44	1	17	stimDur
276	0.18	NaN	0	45	1	17	stimDur
422	1.13	NaN	0.2134	46	1	17	stimDur
316	0.12	NaN	0	47	1	17	stimDur
415	0.1	NaN	0	48	1	17	stimDur
159	0.12	NaN	0	49	1	17	stimDur
469	0.41	NaN	0	50	1	17	stimDur
372	0.23	NaN	0	51	1	17	stimDur
173	0.8	NaN	0	52	1	17	stimDur
297	0.3	NaN	0	53	1	17	stimDur
516	0.44	NaN	0	54	1	17	stimDur
126	0.33	NaN	0	55	1	17	stimDur
284	0.11	NaN	0	56	1	17	stimDur
245	0.2	NaN	0	57	1	17	stimDur
449	0.11	NaN	0	58	1	17	stimDur
266	0.13	NaN	0	59	1	17	stimDur
528	0.95	NaN	0.0606	60	1	17	stimDur
419	0.82	NaN	0	61	1	17	stimDur
196	0.77	NaN	0	62	1	17	stimDur
